product_child_option_id,product_parent_option_id,product_id,option_name,option_price
1,1,1,기본포장해주세요,800
2,1,1,"박스포장해주세요 (+1,500원)",900
3,2,1,개인통관부호/유효전화번호를 남겨주세요,200
4,3,1,개인정보(주소/연락처) 국외의전 동의,400
5,4,2,레몬청 300ml,700
6,4,2,"레몬청 500ml (+5,000원)",300
7,5,2,아이보리,700
8,5,2,베이지,100
9,6,2,Basic(24*30*10),0
10,6,2,"Size 1(28*35*10) (+5,000원)",200
11,6,2,"Size2(30*37*10) (+8,000원)",500
12,7,3,"45cm (-1,000원)",600
13,7,3,기본) 58cm,0
14,7,3,60cm,700
15,7,3,65cm,700
16,7,3,기타,700
17,8,3,1. 머그컵,0
18,8,3,"2. 기본블랙 (+2,000원)",100
19,8,3,"3. 기본화이트 (+2,000원)",200
20,8,3,"4. 콜드컵(빨대텀블러) (+4,000원)",700
21,9,3,1인,300
22,9,3,"2인 (+3,000원)",300
23,10,4,"1. 선과 면작업(예시사진 1-3) (+3,000원)",400
24,10,4,2. 선작업(예시사진 4-7),400
25,11,4,1. 추가없음,0
26,11,4,"2.머그컵 (+22,000원)",700
27,11,4,"3. 기본블랙 (+24,000원)",100
28,11,4,"4. 기본화이트 (+24,000원)",400
29,11,4,"5.콜드컵(빨대컵) (+28,000원)",600
30,12,4,1. 중앙,500
31,12,4,2. 하부,100
32,13,5,"린스추가 (+12,000원)",600
33,13,5,선택안함,400
34,14,5,휘낭시에x(곶감잼만),300
35,14,5,"곶감휘낭시에 1개 (+2,600원)",500
36,14,5,"곶감휘낭시에 2개 (+5,200원)",500
37,14,5,"곶감휘낭시에 5개 (+12,000원)",700
38,15,5,종이선물박스추가 (+500원),700
39,15,5,"아이스박스 (+1,000원)",300
40,15,5,필요없어요!,700
41,16,6,1명,300
42,16,6,"2명 (+3,000원)",300
43,16,6,"3명 (+6,000원)",200
44,16,6,"4명 (+9,000원)",400
45,16,6,"5명 (+12,000원)",200
46,17,6,선택안함,0
47,17,6,"눈 그리기 (+1,000원)",700
48,18,6,선택안함(라인),800
49,18,6,"단색채색 (+2,000원)",800
50,18,6,"명암채색 (+3,000원)",0
51,19,7,"심플하게표현,민무늬의상",300
52,19,7,"무늬패턴 표현 - 1인 (+2,000원)",900
53,19,7,"무늬패턴 표현 - 2인 (+4,000원)",500
54,19,7,"무늬패턴 표현 - 3인 (+6,000원)",100
55,19,7,"무늬패턴 표현 - 4인 (+8,000원)",100
56,19,7,"무늬패턴 표현 - 5인 (+10,000원)",200
57,20,7,선택안함,0
58,20,7,"단순한 소품 (+2,000원)",500
59,20,7,"복잡한 소품 (+4,000원)",600
60,21,7,선택안함,800
61,21,7,리뷰 작성하고 핸드폰 배경 받을래요!,100
62,21,7,핸드폰 배경화면 리사이징 (+500원),100
63,22,8,기본사이즈로 할래요,100
64,22,8,"3000PX 정 사이즈 (+1,500원)",300
65,22,8,"4000PX 정 사이즈 (+3,000원)",600
66,23,8,개인적인 용도로 사용해요,200
67,23,8,"청첩장용도 (+10,000원)",700
68,23,8,"저작권(상업용) (+20,000원)",700
69,24,8,공개해도 돼요.,0
70,24,8,공개 안 했으면 좋겠어요.,100
71,25,9,제품설명에 안내사항을 다 확인했습니다,500
72,26,9,귤 컵홀더,700
73,26,9,복숭아 컵홀더,100
74,26,9,레몬 컵홀더,700
75,26,9,"귤 드링크백 (+1,000원)",100
76,26,9,"복숭아 드링크백 (+1,000원)",100
77,26,9,"레몬 드링크백 (+1,000원)",800
78,27,9,★가능기종 확인 후 메세지or요청사항,0
79,27,9,하드케이스,500
80,27,9,"범퍼케이스 (+4,000원)",800
81,27,9,"슬라이드범퍼케이스 (+4,000원)",300
82,27,9,"TPU범퍼케이스 (+1,000원)",300
83,28,10,패턴1,0
84,28,10,패턴2,500
85,28,10,패턴3,0
86,28,10,패턴4,700
87,28,10,패턴5,200
88,29,10,문구있음,200
89,29,10,문구없음,600
90,30,10,폰트없음,200
91,30,10,폰트1,300
92,30,10,폰트2,200
93,30,10,폰트3,900
94,30,10,폰트4,400
95,30,10,폰트5,700
96,31,11,블루,400
97,31,11,핑크,600
98,32,11,12cm,100
99,32,11,"15cm (+1,000원)",400
100,33,11,연그레이 타블렛,200
101,33,11,진그레이 타블렛,100
102,34,12,베이 뉴타입,0
103,34,12,블랙 라즈베리 & 바닐라,100
104,34,12,블랙 체리,100
105,34,12,잉글리쉬 페어 & 프리지아,800
106,34,12,롬브르단로,500
107,34,12,플루메리아,800
108,34,12,아카시아,800
109,34,12,No.5,100
110,34,12,화이트 머스크,800
111,34,12,코튼 블로썸,400
112,34,12,베이비 파우더,700
113,34,12,유칼립투스 & 스피어민트,900
114,34,12,프렌치 라벤더,900
115,34,12,시트러스 버베나,600
116,34,12,헤스페리데스 자몽,900
117,35,12,추가 안함,100
118,35,12,"베이 뉴타입 (+4,000원)",500
119,35,12,"블랙 라즈베리 & 바닐라 (+4,000원)",800
120,35,12,"블랙체리 (+4,000원)",600
121,35,12,"잉글리쉬 페어 & 프리지아 (+4,000원)",700
122,35,12,"롬브르단로 (+4,000원)",300
123,35,12,"플루메리아 (+4,000원)",700
124,35,12,"아카시아 (+4,000원)",100
125,35,12,"No.5 (+4,000원)",0
